Age,nx,lx
1,608,1
2,487,0.801
3,480,0.789
4,472,0.776
5,465,0.764
6,447,0.734
7,419,0.688
8,390,0.64
9,348,0.571
10,268,0.439
11,154,0.252
12,59,0.096
13,4,0.006
14,2,0.003
15,0,0
